Nome do alimento,Grupo,Energia,Lípidos (FAT),Ácidos gordos saturados (FASAT),Ácidos gordos monoinsaturados (FAMS),Ácidos gordos polinsaturados (FAPU),Ácido linoleico (F18:2CN6),Ácidos gordos trans (FATRS),Hidratos de carbono (CHO),Mono+dissacáridos (SUGAR),Oligossacáridos (OLSAC),Amido (STARCH),Sal (NACL),Fibra alimentar (FIBT),Proteína (PROT),Ácidos orgânicos (OA),Colesterol (CHORL),Vitamina A total (equivalentes de retinol) (VITA),Caroteno (CAROT),Vitamina D (VITD),a-tocoferol (TOCPHA),Tiamina (THIA),Riboflavina (RIBF),Niacina (NIA),Equivalentes de niacina (NIAEQ),Triptofano/60 (NIATRP),Vitamina B6 (VITB6),Vitamina B12  (VITB12),Vitamina C (VITC),Folatos (FOL),Cinza (ASH),Sódio (Na),Potássio (K),Cálcio (Ca),Fósforo (P),Magnésio (Mg),Ferro (Fe),Zinco (Zn)
"Amendoim, miolo, torrado com sal","Leguminosas, frutos secos",614,51.8,9.2,23.7,16.1,15.5,0,6.6,3.6,0,3,1.05,8.3,26.2,0,0,0,0,0,0.00066,0.00022,0.00013,0.014,0.019,0.0052,0.00047,0,0,0.000052,3.6,0.42,0.82,0.035,0.36,0.16,0.0012,0.0027
"Amendoim, miolo, torrado sem sal","Leguminosas, frutos secos",605,49.6,8.8,22.7,15.4,14.8,0,9.5,4.5,0,5,0.015,8.9,25.6,0,0,0,0,0,0.0011,0.00022,0.00013,0.014,0.02,0.0055,0.00047,0,0,0.000066,3.6,0.006,0.74,0.057,0.37,0.16,0.0021,0.003
"Avelã, miolo","Leguminosas, frutos secos",689,66.3,4.9,52.2,6.2,6.1,0,6,3.9,0,2.1,0.005,6.1,14,0,0,0,0,0,0.025,0.0003,0.00016,0.0018,0.0052,0.0034,0.00059,0,0,0.000073,2.45,0.002,0.73,0.25,0.27,0.16,0.003,0.002
Azeitona,"Leguminosas, frutos secos",180,18.5,2.9,9.6,2.2,2,0,0,0,0,0,5.25,4,1.4,0,0,0.039,0.236,0,0.002,0.00002,0.00007,0.0005,0.0007,0.0002,0.00002,0,0,0,5.1,2.1,0.06,0.054,0.014,0.022,0.0016,0.0002
Batata crua,"Leguminosas, frutos secos",90,0,0,0,0,0,0,19.2,1.2,0,18,0.022,1.6,2.5,0,0,0,0,0,0.00006,0.00021,0.00002,0.0014,0.002,0.0006,0.00044,0,0.014,0.000035,0.74,0.009,0.45,0.009,0.042,0.013,0.0002,0.0002
Batata doce crua,"Leguminosas, frutos secos",123,0,0,0,0,0,0,28.3,7.9,0,20.4,0.052,2.7,1,0,0,0.65,3.9,0,0.0046,0.00017,0,0.0005,0.0008,0.0003,0.00009,0,0.025,0.000017,0.67,0.021,0.35,0.024,0.032,0.014,0.0004,0.0003
"Castanha, miolo","Leguminosas, frutos secos",194,1.1,0.2,0.4,0.4,0.4,0,39.8,9.8,0,30,0.022,6.1,3.1,0,0,0.011,0.064,0,0.0012,0.00022,0.00012,0.0005,0.0011,0.0006,0.00035,0,0.051,0.000061,1.1,0.009,0.5,0.02,0.063,0.033,0.0008,0.0005
"Coco seco, ralado","Leguminosas, frutos secos",648,62,53.3,4.1,1.1,1,0,6.4,6.4,0,0,0.07,21.1,5.6,0,0,0,0,0,0.0013,0.00003,0.00005,0.0009,0.002,0.0011,0.00009,0,0,0.000009,2,0.028,0.66,0.022,0.16,0.09,0.0036,0.0009
"Ervilhas, grão, congeladas cruas","Leguminosas, frutos secos",68,0.5,0.1,0.1,0.2,0.2,0,7,1.4,1.2,4.4,0.028,7,5.3,0,0,0.067,0.4,0,0.00018,0.00032,0.00002,0.0018,0.0026,0.0008,0.0001,0,0.014,0.000058,0.8,0.011,0.21,0.032,0.096,0.017,0.0011,0.0009
"Ervilhas, vagens cruas","Leguminosas, frutos secos",33,0.2,0,0.1,0.1,0.1,0,3.9,2.9,0,1,0.01,1.5,3.1,0,0,0.033,0.2,0,0.00018,0.00017,0.00014,0.0005,0.001,0.0005,0.00016,0,0.03,0.000007,0.48,0.004,0.15,0.054,0.039,0.025,0.0007,0.0006
